"sigla_tribunal","procedimento","ramo_justica","sigla_grau","uf_oj","municipio_oj","id_ultimo_oj","nome","mesano_cnm1","mesano_sent","casos_novos_2026","julgados_2026","prim_sent2026","suspensos_2026","dessobrestados_2026","cumprimento_meta1","distm2_a","julgm2_a","suspm2_a","cumprimento_meta2a","distm2_ant","julgm2_ant","suspm2_ant","desom2_ant","cumprimento_meta2ant","distm4_a","julgm4_a","suspm4_a","cumprimento_meta4a","distm4_b","julgm4_b","suspm4_b","cumprimento_meta4b"
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CONSELHEIRO PENA",15757,"89ª ZONA ELEITORAL - CONSELHEIRO PENA",NA,NA,0,0,0,0,0,0,164,164,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CONTAGEM",15758,"90ª ZONA ELEITORAL - CONTAGEM",NA,NA,0,0,0,0,0,0,113,113,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CONTAGEM",15759,"91ª ZONA ELEITORAL - CONTAGEM",NA,NA,0,0,0,0,0,0,84,83,0,141.156462585034,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CONTAGEM",15761,"93ª ZONA ELEITORAL - CONTAGEM",NA,NA,0,0,0,0,0,0,19,19,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CONTAGEM",15981,"313ª ZONA ELEITORAL - CONTAGEM",NA,NA,0,0,0,0,0,0,9,9,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CORACAO DE JESUS",15762,"94ª ZONA ELEITORAL - CORAÇÃO DE JESUS",NA,NA,0,0,0,0,0,0,304,304,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CORINTO",15763,"95ª ZONA ELEITORAL - CORINTO",NA,NA,0,0,0,0,0,0,35,35,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","COROMANDEL",15764,"96ª ZONA ELEITORAL - COROMANDEL",NA,NA,0,0,0,0,0,0,107,106,0,141.522029372497,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CORONEL FABRICIANO",15765,"97ª ZONA ELEITORAL - CORONEL FABRICIANO",NA,NA,0,0,0,0,0,0,376,364,0,138.297872340426,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CRISTINA",15767,"99ª ZONA ELEITORAL - CRISTINA",NA,NA,0,0,0,0,0,0,122,122,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CRUZILIA",16014,"346ª ZONA ELEITORAL - CRUZILIA",NA,NA,0,0,0,0,0,0,176,176,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CURVELO",15768,"100ª ZONA ELEITORAL - CURVELO",NA,NA,0,0,0,0,0,0,416,414,0,142.17032967033,1,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","DIAMANTINA",15769,"101ª ZONA ELEITORAL - DIAMANTINA",NA,NA,0,0,0,0,0,0,183,183,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","DIVINO",15738,"70ª ZONA ELEITORAL - DIVINO",NA,NA,0,0,0,0,0,0,138,134,0,138.71635610766,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","DIVINOPOLIS",15770,"102ª ZONA ELEITORAL - DIVINÓPOLIS",NA,NA,0,0,0,0,0,0,91,91,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","DIVINOPOLIS",15771,"103ª ZONA ELEITORAL - DIVINÓPOLIS",NA,NA,0,0,0,0,0,0,113,112,0,141.592920353982,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","DORES DO INDAIA",15772,"104ª ZONA ELEITORAL - DORES DO INDAIÁ",NA,NA,0,0,0,0,0,0,233,233,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","ENTRE RIOS DE MINAS",15774,"106ª ZONA ELEITORAL - ENTRE RIOS DE MINAS",NA,NA,0,0,0,0,0,0,202,202,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","ERVALIA",15775,"107ª ZONA ELEITORAL - ERVÁLIA",NA,NA,0,0,0,0,0,0,218,204,0,133.682830930537,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","ESMERALDAS",15776,"108ª ZONA ELEITORAL - ESMERALDAS",NA,NA,0,0,0,0,0,0,200,197,0,140.714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0
